id,long,lat,source
1,-1.3960704,50.9376734,http://os.openstreetmap.org/
2,-1.3981275,50.9362789,http://os.openstreetmap.org/
4,-1.3977134,50.9360909,http://os.openstreetmap.org/
5,-1.3948313,50.9355883,http://os.openstreetmap.org/
6,-1.3972189,50.9359585,http://os.openstreetmap.org/
7,-1.3940282,50.9353558,http://os.openstreetmap.org/
8,-1.3947926,50.936537,http://os.openstreetmap.org/
9,-1.394215,50.9355501,http://os.openstreetmap.org/
13,-1.393488,50.935551,http://os.openstreetmap.org/
15,-1.3933722,50.9358355,http://os.openstreetmap.org/
16,-1.3956608,50.9376285,http://os.openstreetmap.org/
17,-1.3946145,50.9362396,http://os.openstreetmap.org/
18,-1.3966792,50.9338813,http://os.openstreetmap.org/
19,-1.392867,50.9355444,http://os.openstreetmap.org/
20,-1.3951265,50.9368962,http://os.openstreetmap.org/
21,-1.3932157,50.9351646,http://os.openstreetmap.org/
22,-1.3941636,50.9350233,http://os.openstreetmap.org/
25,-1.3934585,50.9347702,http://os.openstreetmap.org/
26,-1.3941216,50.9347143,http://os.openstreetmap.org/
27,-1.393776,50.93432,http://os.openstreetmap.org/
28,-1.3945278,50.9346967,http://os.openstreetmap.org/
29,-1.3939798,50.9340008,http://os.openstreetmap.org/
30,-1.3944765,50.9343082,http://os.openstreetmap.org/
32,-1.395905,50.9364157,http://os.openstreetmap.org/
34,-1.395317,50.9344936,http://os.openstreetmap.org/
35,-1.394475,50.93383,http://os.openstreetmap.org/
36,-1.395156,50.934986,http://os.openstreetmap.org/
37,-1.395696,50.934147,http://os.openstreetmap.org/
38,-1.3974278,50.9354059,http://os.openstreetmap.org/
39,-1.399298,50.936722,http://os.openstreetmap.org/
40,-1.3973325,50.9347275,http://os.openstreetmap.org/
41,-1.395301,50.933559,http://os.openstreetmap.org/
42,-1.397511,50.934219,http://os.openstreetmap.org/
44,-1.399062,50.934322,http://os.openstreetmap.org/
45,-1.394014,50.937801,http://os.openstreetmap.org/
46,-1.3996014,50.9348505,http://os.openstreetmap.org/
48,-1.399485,50.935696,http://os.openstreetmap.org/
50,-1.3994,50.936142,http://os.openstreetmap.org/
52,-1.3988324,50.9358682,http://os.openstreetmap.org/
53,-1.398236,50.937412,http://os.openstreetmap.org/
54,-1.3988756,50.9362228,http://os.openstreetmap.org/
57,-1.396755,50.934399,http://os.openstreetmap.org/
58,-1.398697,50.936592,http://os.openstreetmap.org/
59,-1.3977863,50.9374063,http://os.openstreetmap.org/
60,-1.3975471,50.93774,http://os.openstreetmap.org/
62,-1.4049952,50.9372304,http://os.openstreetmap.org/
65,-1.402838,50.929203,http://os.openstreetmap.org/
67,-1.3966181,50.9366885,http://os.openstreetmap.org/
68,-1.394491,50.892773,http://os.openstreetmap.org/
77,-1.4068368,50.920439,http://os.openstreetmap.org/
85,-1.395323,50.936436,http://os.openstreetmap.org/
86,-1.396765,50.93739,http://os.openstreetmap.org/
92,-1.4255025,50.9621255,http://os.openstreetmap.org/
93,-1.363412,50.952282,http://os.openstreetmap.org/
96,-1.4233506,50.9619135,http://os.openstreetmap.org/
97,-1.4250697,50.9609746,http://os.openstreetmap.org/
99,-1.4226617,50.961019,http://os.openstreetmap.org/
115,-1.397173,50.936291,http://os.openstreetmap.org/
123,-1.396685,50.898575,http://os.openstreetmap.org/
150,-1.3840867,50.9307365,http://os.openstreetmap.org/
151,-1.3838409,50.9311694,http://os.openstreetmap.org/
152,-1.3838018,50.9312434,http://os.openstreetmap.org/
165,-1.3907767,50.9284882,http://os.openstreetmap.org/
166,-1.082381,50.789497,http://os.openstreetmap.org/
1050,-1.395323,50.933235,http://os.openstreetmap.org/
1051,-1.395356,50.933338,http://os.openstreetmap.org/
1101,-1.3959296,50.9330414,http://os.openstreetmap.org/
1102,-1.3960392,50.9333389,http://os.openstreetmap.org/
1104,-1.396101,50.9334345,http://os.openstreetmap.org/
1105,-1.3961544,50.933516,http://os.openstreetmap.org/
1106,-1.3962246,50.9335868,http://os.openstreetmap.org/
1107,-1.3962471,50.9336275,http://os.openstreetmap.org/
1220,-1.395103,50.938011,http://os.openstreetmap.org/
1221,-1.395002,50.938026,http://os.openstreetmap.org/
1222,-1.39495,50.938034,http://os.openstreetmap.org/
1390,-1.400937,50.933636,http://os.openstreetmap.org/
1391,-1.400937,50.933636,http://os.openstreetmap.org/
1395,-1.4037955,50.9381522,http://os.openstreetmap.org/
1401,-1.3979365,50.9330741,http://os.openstreetmap.org/
1402,-1.3979888,50.933101,http://os.openstreetmap.org/
1403,-1.3980886,50.9331489,http://os.openstreetmap.org/
1404,-1.3981409,50.9331759,http://os.openstreetmap.org/
1405,-1.3982264,50.9332298,http://os.openstreetmap.org/
1406,-1.3982834,50.9332568,http://os.openstreetmap.org/
1407,-1.398388,50.9333077,http://os.openstreetmap.org/
1408,-1.3984498,50.9333406,http://os.openstreetmap.org/
1409,-1.3985496,50.9333886,http://os.openstreetmap.org/
1410,-1.3986066,50.9334155,http://os.openstreetmap.org/
1411,-1.398716,50.9334605,http://os.openstreetmap.org/
1412,-1.3987777,50.9334904,http://os.openstreetmap.org/
1413,-1.3990059,50.9336012,http://os.openstreetmap.org/
1414,-1.3990629,50.9336342,http://os.openstreetmap.org/
